i	twt	max	similarity	sleepTime
1	14	16	0.133333	3.100000
2	5	16	0.500000	17.200000
3	9	14	0.666667	12.000000
4	8	14	0.888889	19.522222
5	15	16	0.166667	5.711111
6	7	16	0.608696	33.642512
7	13	13	0.095238	3.359489
8	5	13	0.526316	34.072246
9	10	10	0.125000	3.810805
10	3	10	0.428571	33.115012
11	11	11	0.133333	4.139377
12	3	11	0.400000	36.354389
13	9	11	0.153846	10.579668
14	5	11	0.666667	23.130337
15	12	12	0.222222	3.359889
16	6	12	0.631579	23.679408
17	11	13	0.444444	11.195937
18	5	9	0.235294	17.204787
19	2	9	0.500000	30.527659
20	11	12	0.142857	7.060486
21	2	12	0.285714	40.508864
22	7	7	0.200000	3.482624
23	3	7	0.545455	19.371162
24	9	11	0.307692	10.545774
25	3	11	0.461538	33.791168
26	9	15	0.307692	24.014813
27	11	11	0.095238	3.081481
28	3	11	0.400000	29.215684
29	11	12	0.266667	6.025708
30	9	12	0.857143	14.908558
31	14	14	0.333333	3.774759
32	10	14	0.800000	21.873793
33	7	9	0.111111	11.821245
34	5	9	0.769231	22.009768
35	12	13	0.111111	8.103053
36	2	13	0.266667	48.126007
37	12	14	0.133333	12.145788
38	5	14	0.555556	42.041514
39	15	16	0.095238	8.065446
40	9	12	0.080000	13.022320
41	3	12	0.461538	33.837851
42	12	13	0.125000	5.417570
43	7	13	0.700000	23.083718
44	10	15	0.111111	15.837326
45	2	15	0.307692	39.705897
46	11	11	0.142857	2.712326
47	5	11	0.588235	22.170596
48	9	11	0.266667	8.635017
49	4	11	0.571429	26.836236
50	7	7	0.166667	3.441196
51	1	7	0.222222	22.413160
52	10	11	0.166667	6.487093
53	5	11	0.625000	22.179827
54	9	11	0.266667	9.972307
55	5	11	0.666667	25.781536
56	13	13	0.105263	3.645483
57	5	13	0.526316	32.252068
58	15	17	0.095238	10.236404
59	6	17	0.545455	40.633926
60	17	17	0.083333	3.302827
61	12	13	0.066667	6.294543
62	3	14	0.125000	37.267259
63	12	15	0.125000	10.422420
64	10	14	0.347826	13.433822
65	5	14	0.625000	26.450977
66	9	9	0.133333	2.673168
67	3	9	0.461538	18.258734
68	3	7	0.571429	15.422905
69	2	7	0.666667	19.234759
70	8	10	0.181818	9.912834
71	11	13	0.200000	10.312834
72	5	13	0.588235	35.107619
73	12	13	0.111111	7.773915
74	2	13	0.266667	45.669579
75	10	10	0.153846	3.334644
76	4	10	0.533333	26.142511
77	13	15	0.111111	10.152651
78	2	15	0.250000	42.879039
79	12	12	0.133333	2.529455
80	4	12	0.470588	25.364027
81	9	14	0.428571	18.280780
82	5	14	0.666667	31.252280
83	9	11	0.133333	9.442351
84	5	11	0.666667	24.832152
85	13	13	0.105263	3.498867
86	7	13	0.666667	25.425404
87	3	21	0.181818	70.355246
88	11	14	0.133333	14.344964
89	10	14	0.090909	17.719084
90	3	14	0.428571	42.021599
91	14	16	0.111111	9.553019
92	3	16	0.333333	39.914088
93	15	16	0.105263	5.645872
94	6	16	0.545455	29.718964
95	11	14	0.222222	11.274732
96	5	14	0.588235	27.402517
97	10	16	0.500000	21.409035
98	16	17	0.074074	5.998349
99	3	17	0.300000	48.123978
100	7	13	0.181818	20.730583
101	12	13	0.100000	5.900802
102	5	13	0.555556	28.553607
103	6	8	0.166667	9.702080
104	7	11	0.285714	14.871431
105	3	11	0.545455	29.677667
106	8	11	0.333333	12.170467
107	10	12	0.210526	8.259429
108	6	12	0.705882	23.694659
109	9	15	0.375000	24.219659
110	6	15	0.125000	34.031331
111	9	15	0.500000	26.621931
112	10	11	0.500000	7.495155
113	6	11	0.705882	25.720759
114	10	10	0.117647	4.118726
115	4	10	0.533333	28.746233
116	11	11	0.125000	3.898271
117	2	11	0.285714	39.734594
118	10	11	0.153846	6.842846
119	3	11	0.428571	31.274952
120	9	9	0.153846	3.503841
121	4	9	0.571429	21.451616
122	9	12	0.142857	12.872506
123	4	12	0.571429	27.753054
124	10	10	0.133333	3.099359
125	6	10	0.705882	16.359540
126	9	11	0.375000	10.565724
127	5	11	0.666667	27.320023
128	7	7	0.153846	3.902860
129	5	7	0.769231	12.730559
130	10	13	0.125000	16.858694
131	1	13	0.166667	49.528852
132	15	15	0.117647	3.784702
133	5	15	0.476190	40.584098
134	11	15	0.117647	18.368886
135	3	15	0.400000	43.782633
136	11	13	0.133333	9.378685
137	5	13	0.588235	27.430171
138	8	13	0.428571	19.935133
139	10	12	0.105263	7.975663
140	3	12	0.428571	29.621259
141	10	18	0.142857	26.444847
142	9	15	0.100000	20.444685
143	9	12	0.526316	11.883179
144	5	12	0.666667	28.158514
145	9	12	0.133333	13.012590
146	4	12	0.571429	33.221185
147	3	6	0.500000	14.412030
148	3	6	0.857143	16.126316
149	13	13	0.117647	4.043963
150	4	13	0.444444	40.598359
151	14	15	0.105263	8.044484
152	7	14	0.181818	32.832480
153	9	13	0.235294	19.065192
154	6	11	0.125000	19.628230
155	10	12	0.588235	11.178821
156	8	12	0.842105	19.984752
157	12	16	0.095238	17.960942
158	2	16	0.266667	45.025684
159	11	13	0.142857	9.080767
160	3	13	0.400000	32.807257
161	3	10	0.857143	29.874861
162	15	15	0.105263	3.657803
163	5	15	0.476190	42.885688
164	7	10	0.153846	15.710180
165	10	12	0.222222	10.684596
166	5	12	0.625000	26.755414
167	8	12	0.142857	16.960229
168	6	11	0.400000	21.152275
169	12	13	0.105263	6.975570
170	8	13	0.761905	23.098140
171	12	13	0.095238	6.175570
172	4	13	0.470588	34.531102
173	8	9	0.153846	6.261532
174	1	9	0.200000	28.592278
175	11	13	0.153846	9.325631
176	4	13	0.500000	29.835437
177	5	7	0.400000	9.722060
178	6	10	0.166667	15.036766
179	4	10	0.727273	25.405540
180	9	10	0.142857	6.020630
181	4	10	0.571429	24.405540
182	10	11	0.133333	6.298501
183	10	15	0.190476	19.115285
184	4	15	0.533333	42.230569
185	9	10	0.142857	7.016450
186	15	17	0.240000	9.744675
187	5	17	0.476190	43.217403
188	10	11	0.125000	6.565498
189	1	11	0.166667	29.943571
190	14	14	0.125000	2.704286
191	4	14	0.421053	28.093008
192	12	16	0.117647	12.691117
193	2	16	0.266667	39.216210
194	8	14	0.181818	15.840292
195	11	15	0.200000	11.600208
196	6	15	0.666667	27.467083
197	6	6	0.153846	2.424364
198	4	6	0.727273	9.079910
199	4	6	0.888889	11.246577
200	9	14	0.571429	25.171725
201	11	14	0.190476	15.858844
202	4	15	0.500000	52.164769
203	8	9	0.153846	8.468487
204	7	9	0.875000	14.782276
205	2	2	0.200000	4.927425
206	2	2	0.800000	5.060759
207	2	2	0.800000	5.706913
208	2	2	0.800000	5.779640
209	4	4	0.285714	5.176465
210	1	4	0.333333	19.753480
211	8	12	0.200000	24.739469
212	5	12	0.285714	37.868864
213	11	13	0.117647	14.092227
214	2	13	0.285714	49.297479
215	11	12	0.142857	8.101961
216	10	13	0.272727	14.094831
217	5	13	0.625000	30.138369
218	5	6	0.181818	5.461052
219	2	6	0.500000	14.724058
220	9	9	0.166667	2.778145
221	5	9	0.666667	16.224058
222	4	4	0.200000	3.159097
223	2	4	0.571429	10.838636
224	2	4	0.800000	12.381494
225	7	7	0.200000	4.184307
226	1	7	0.222222	28.936616
227	14	15	0.125000	7.267605
228	5	15	0.500000	43.471825
229	11	12	0.117647	7.139262
230	4	12	0.500000	35.126681
231	9	9	0.142857	3.379155
232	3	9	0.461538	25.484854
233	9	9	0.153846	3.223111
234	5	9	0.666667	15.448889
235	14	17	0.100000	11.959111
236	4	17	0.421053	44.640514
237	10	18	0.133333	28.772473
238	10	12	0.095238	8.376539
239	2	12	0.307692	32.804473
240	14	15	0.117647	5.199744
241	6	15	0.571429	30.284433
242	10	14	0.588235	15.775701
243	16	18	0.148148	9.448326
244	7	18	0.583333	36.793305
245	5	7	0.153846	9.359865
246	1	7	0.285714	20.892316
247	9	10	0.181818	6.066203
248	1	10	0.181818	31.196815
249	13	13	0.133333	2.945323
250	6	13	0.600000	27.421404
251	14	15	0.571429	6.855351
252	8	15	0.695652	28.280739
253	13	14	0.090909	6.955707
254	3	14	0.352941	38.969534
255	4	4	0.250000	3.343615
256	1	4	0.333333	13.564936
257	1	4	0.666667	15.504330
258	4	4	0.333333	4.027598
259	3	4	0.750000	9.288529
260	3	4	0.857143	9.802814
261	3	4	0.285714	9.231386
262	1	4	0.400000	17.280163
263	4	4	0.333333	4.562465
264	2	4	0.571429	14.342857
265	4	4	0.571429	5.102381
266	4	4	0.888889	5.657937
267	4	4	0.888889	5.880159
268	4	4	0.888889	6.435714
269	13	13	0.333333	6.019048
270	7	13	0.666667	40.800000
271	10	11	0.111111	11.307937
272	2	11	0.307692	55.616606
273	11	11	0.142857	5.371184
274	11	11	0.086957	4.886712
275	5	11	0.588235	34.324633
276	7	11	0.153846	20.842382
277	3	4	0.181818	6.922811
278	2	4	0.666667	9.717550
279	2	4	0.800000	11.117550
280	8	9	0.181818	6.442003
281	5	9	0.714286	19.120881
282	9	10	0.133333	7.299634
283	2	10	0.333333	34.562640
284	11	13	0.142857	11.688582
285	9	13	0.857143	20.825508
286	10	12	0.100000	12.333766
287	3	12	0.428571	43.580087
288	9	9	0.153846	3.845188
289	4	9	0.571429	21.699700
290	13	15	0.111111	10.637729
291	5	15	0.526316	36.937337
292	9	12	0.133333	13.431759
293	2	12	0.333333	36.937337
294	12	16	0.133333	16.742080
295	5	16	0.555556	36.561943
296	13	15	0.105263	9.156275
297	6	15	0.600000	32.235203
298	11	12	0.111111	6.361571
299	5	12	0.588235	25.580736
300	11	13	0.117647	9.612384
301	10	13	0.090909	11.074885
302	3	13	0.428571	33.703553
303	15	15	0.105263	2.835889
304	8	15	0.666667	26.953780
305	6	7	0.133333	5.894001
306	3	7	0.600000	17.208686
307	10	12	0.285714	9.382354
308	4	12	0.533333	31.947063
309	13	13	0.111111	3.072549
310	5	13	0.526316	31.330964
311	12	14	0.111111	10.504261
312	7	14	0.700000	30.182790
313	8	9	0.125000	7.585171
314	6	11	0.400000	21.155514
315	9	10	0.125000	7.035171
316	2	10	0.333333	29.258271
317	15	15	0.111111	3.076316
318	8	15	0.666667	25.677193
319	10	13	0.526316	14.499415
320	9	13	0.900000	19.992690
321	9	14	0.105263	23.956140
322	14	17	0.250000	14.170760
323	7	17	0.636364	44.594591
324	13	13	0.095238	3.749292
325	7	13	0.666667	30.036709
326	7	8	0.133333	8.181917
327	5	9	0.307692	21.437698
328	2	2	0.250000	3.870873
329	2	2	0.800000	4.144557
330	2	2	0.800000	4.044557
331	2	2	0.800000	4.739294
332	8	8	0.181818	4.671112
333	2	8	0.363636	30.788695
334	10	14	0.153846	22.284965
335	9	10	0.100000	7.780653
336	13	14	0.434783	8.383551
337	8	14	0.727273	32.279492
338	10	15	0.210526	27.431294
339	7	12	0.111111	23.297961
340	7	10	0.133333	12.865307
341	2	10	0.400000	25.346941
342	13	16	0.125000	11.038034
343	4	16	0.444444	36.924117
344	14	15	0.105263	5.583467
345	6	15	0.571429	32.631623
346	17	17	0.166667	2.995046
347	4	17	0.363636	36.839740
348	14	15	0.105263	5.052294
349	7	16	0.181818	25.968539
350	9	10	0.117647	5.162335
351	4	10	0.571429	19.268173
352	10	12	0.400000	9.082789
353	8	12	0.842105	17.126285
354	9	11	0.444444	11.293315
355	7	11	0.823529	20.082696
356	16	17	0.166667	8.033078
357	4	17	0.380952	56.473972
358	12	12	0.117647	4.046239
359	7	12	0.700000	27.386525
360	10	12	0.111111	13.673655
361	3	12	0.428571	44.150278
362	8	10	0.166667	12.545083
363	2	10	0.363636	33.329030
364	6	9	0.222222	13.924013
365	8	9	0.133333	5.581614
366	3	9	0.500000	21.868984
367	9	10	0.153846	5.794069
368	2	10	0.333333	28.014486
369	7	10	0.200000	10.450882
370	3	10	0.545455	24.376512
371	10	13	0.142857	11.045399
372	5	13	0.625000	28.977148
373	10	10	0.125000	2.981047
374	2	10	0.307692	27.598651
375	9	13	0.333333	16.332584
376	10	10	0.100000	2.866517
377	3	10	0.428571	25.129937
378	8	12	0.500000	16.539544
379	5	9	0.285714	16.968115
380	16	18	0.090909	8.817233
381	8	18	0.640000	37.798425
382	14	14	0.086957	2.898177
383	5	14	0.500000	32.731770
384	9	13	0.133333	15.494090
385	9	12	0.631579	13.588254
386	8	9	0.333333	7.260794
387	4	9	0.615385	22.903261
388	18	20	0.086957	10.212500
389	15	17	0.117647	9.708298
390	10	17	0.692308	30.699984
391	12	13	0.086957	6.568909
392	5	13	0.555556	33.777482
393	7	12	0.461538	22.287552
394	14	15	0.090909	7.344336
395	4	15	0.421053	41.539698
396	11	11	0.125000	3.253308
397	6	11	0.666667	19.827541
398	11	16	0.333333	21.305802
399	14	18	0.230769	18.320446
400	5	18	0.500000	48.604941
401	11	15	0.117647	17.512360
402	3	15	0.400000	43.509914
403	15	16	0.105263	5.981282
404	18	18	0.058824	2.958556
405	6	18	0.480000	39.227539
406	14	16	0.190476	9.248938
407	4	16	0.421053	36.885747
408	14	17	0.105263	10.437180
409	6	6	0.095238	2.473764
410	2	6	0.444444	12.091041
411	2	6	0.800000	15.502806
412	10	11	0.153846	5.708815
413	1	11	0.166667	32.073920
414	12	13	0.142857	5.999689
415	4	13	0.470588	29.904327
416	9	9	0.142857	2.942814
417	4	9	0.571429	18.559138
418	13	14	0.222222	6.420297
419	6	14	0.600000	33.434195
420	13	13	0.100000	3.370466
421	8	13	0.727273	19.786433
422	16	17	0.400000	7.087785
423	8	17	0.640000	40.172260
424	19	19	0.071429	3.945797
425	5	19	0.400000	58.128139
426	8	11	0.142857	15.500837
427	2	11	0.363636	36.674170
428	6	11	0.222222	22.004502
429	12	13	0.105263	6.345360
430	4	13	0.470588	35.432684
431	10	14	0.133333	14.746645
432	4	14	0.533333	33.909286
433	14	15	0.105263	5.095851
434	15	15	0.066667	2.543164
435	6	15	0.545455	26.886182
436	11	12	0.111111	5.313744
437	7	12	0.736842	18.180467
438	9	9	0.705882	3.513738
439	8	9	0.888889	8.594727
440	8	9	0.941176	9.535904
441	12	13	0.285714	9.840666
442	7	13	0.600000	34.908997
443	11	13	0.210526	15.276788
444	6	13	0.666667	45.538102
445	13	13	0.100000	5.246808
446	5	13	0.526316	50.958116
